tag_me,tag_them,time_local_s,time_remote_s,rssi,angle,group,time_start,bat_start
0x597E5627,0x3C992634,1356,932,-94,14,1,20:38:22,
0x597E5627,0x3C992634,1360,936,-93,12,1,20:38:22,
0x597E5627,0x3C992634,1361,937,-94,16,1,20:38:22,
0x597E5627,0x3C992634,1362,939,-90,12,1,20:38:22,
0x597E5627,0x3C992634,1363,939,-94,12,1,20:38:22,
0x597E5627,0x7DA8FFB0,1364,167,-87,13,1,20:38:22,
0x597E5627,0x3C992634,1365,941,-84,7,1,20:38:22,
0x597E5627,0x3C992634,1365,942,-91,7,1,20:38:22,
0x597E5627,0x3C992634,1366,942,-90,7,1,20:38:22,
0x597E5627,0x7DA8FFB0,1366,169,-90,4,1,20:38:22,
0x597E5627,0x36570942,1366,906,-94,4,1,20:38:22,
0x597E5627,0x3C3A21AD,1369,728,-90,8,1,20:38:22,
0x597E5627,0x06497CA4,1370,155,-87,7,1,20:38:22,
0x597E5627,0x06497CA4,1372,157,-85,12,1,20:38:22,
0x597E5627,0x06497CA4,1372,158,-79,12,1,20:38:22,
0x597E5627,0x06497CA4,1374,159,-89,11,1,20:38:22,
0x597E5627,0x06497CA4,1374,160,-91,11,1,20:38:22,
0x597E5627,0x064F5882,1379,313,-83,6,1,20:38:22,
0x597E5627,0x06497CA4,1381,166,-94,10,1,20:38:22,
0x597E5627,0x064F5882,1381,316,-94,8,1,20:38:22,
0x597E5627,0x064F5882,1382,316,-94,10,1,20:38:22,
0x597E5627,0x36570942,1383,923,-94,7,1,20:38:22,
0x597E5627,0x36570942,1386,926,-94,10,1,20:38:22,
0x597E5627,0x36570942,1390,930,-94,14,1,20:38:22,
0x597E5627,0x192FD0CA,1391,775,-91,14,1,20:38:22,
0x597E5627,0x192FD0CA,1392,776,-94,10,1,20:38:22,
0x597E5627,0x36570942,1394,934,-94,12,1,20:38:22,
0x597E5627,0x064F5882,1394,329,-94,11,1,20:38:22,
0x597E5627,0x04875B4B,1394,732,-80,11,1,20:38:22,
0x597E5627,0x04875B4B,1395,733,-75,11,1,20:38:22,
0x597E5627,0x04875B4B,1395,733,-83,18,1,20:38:22,
0x597E5627,0x06497CA4,1395,181,-94,18,1,20:38:22,
0x597E5627,0x36570942,1396,936,-86,18,1,20:38:22,
0x597E5627,0x04875B4B,1396,734,-91,15,1,20:38:22,
0x597E5627,0x192FD0CA,1396,781,-93,15,1,20:38:22,
0x597E5627,0x36570942,1397,937,-94,15,1,20:38:22,
0x597E5627,0x192FD0CA,1398,782,-94,15,1,20:38:22,
0x597E5627,0x6D58D49C,1399,202,-94,15,1,20:38:22,
0x597E5627,0x06497CA4,1399,185,-94,15,1,20:38:22,
0x597E5627,0x04875B4B,1400,738,-94,3,1,20:38:22,
0x597E5627,0x064F5882,1401,335,-94,3,1,20:38:22,
0x597E5627,0x36570942,1401,941,-94,18,1,20:38:22,
0x597E5627,0x7DA8FFB0,1402,205,-94,14,1,20:38:22,
0x597E5627,0x7DA8FFB0,1402,205,-94,14,1,20:38:22,
0x597E5627,0x36570942,1403,942,-86,14,1,20:38:22,
0x597E5627,0x6D58D49C,1404,207,-94,40,1,20:38:22,
0x597E5627,0x04875B4B,1427,765,-87,-15,1,20:38:22,
0x597E5627,0x354D0915,1463,891,-86,90,1,20:38:22,
0x597E5627,0x3C992634,1502,1079,-88,2,1,20:38:22,
0x597E5627,0x3C3A21AD,1505,864,-94,-4,1,20:38:22,
0x597E5627,0x3C992634,1508,1084,-82,90,1,20:38:22,
0x597E5627,0x36570942,1517,1057,-80,12,1,20:38:22,
0x597E5627,0x36570942,1531,1071,-94,13,1,20:38:22,
0x597E5627,0x3C992634,1532,1108,-85,13,1,20:38:22,
0x597E5627,0x3C992634,1577,1154,-94,15,1,20:38:22,
0x597E5627,0x3C992634,1578,1154,-94,15,1,20:38:22,
0x597E5627,0x3C992634,1583,1159,-91,-19,1,20:38:22,
0x597E5627,0x06497CA4,1602,388,-94,-5,1,20:38:22,
0x597E5627,0x064F5882,1605,540,-87,-10,1,20:38:22,
0x597E5627,0x3C992634,1605,1182,-94,1,1,20:38:22,
0x597E5627,0x3C3A21AD,1616,975,-94,-15,1,20:38:22,
0x597E5627,0x3C3A21AD,1616,975,-89,-15,1,20:38:22,
0x597E5627,0x064F5882,1616,551,-86,-15,1,20:38:22,
0x597E5627,0x064F5882,1617,551,-92,-24,1,20:38:22,
0x597E5627,0x3C3A21AD,1617,976,-88,-24,1,20:38:22,
0x597E5627,0x3C992634,1619,1195,-94,-9,1,20:38:22,
0x597E5627,0x3C3A21AD,1622,982,-94,8,1,20:38:22,
0x597E5627,0x3C992634,1627,1203,-94,1,1,20:38:22,
0x597E5627,0x3C992634,1628,1205,-94,7,1,20:38:22,
0x597E5627,0x3C992634,1629,1205,-94,-15,1,20:38:22,
0x597E5627,0x3C992634,1629,1206,-93,-15,1,20:38:22,
0x597E5627,0x3C992634,1630,1206,-94,-16,1,20:38:22,
0x597E5627,0x3C992634,1631,1207,-94,5,1,20:38:22,
0x597E5627,0x3C992634,1638,1214,-94,5,1,20:38:22,
0x597E5627,0x3C992634,1638,1214,-94,5,1,20:38:22,
0x597E5627,0x3C992634,1646,1222,-94,7,1,20:38:22,
0x597E5627,0x3C992634,1652,1228,-91,3,1,20:38:22,
0x597E5627,0x3C3A21AD,1654,1013,-94,19,1,20:38:22,
0x597E5627,0x3C992634,1654,1231,-93,19,1,20:38:22,
0x597E5627,0x06497CA4,1655,441,-94,10,1,20:38:22,
0x597E5627,0x06497CA4,1655,441,-88,10,1,20:38:22,
0x597E5627,0x064F5882,1656,590,-94,-20,1,20:38:22,
0x597E5627,0x3C992634,1656,1232,-93,-20,1,20:38:22,
0x597E5627,0x3C992634,1656,1233,-89,-20,1,20:38:22,
0x597E5627,0x3C3A21AD,1657,1016,-94,8,1,20:38:22,
0x597E5627,0x06497CA4,1657,443,-88,8,1,20:38:22,
0x597E5627,0x06497CA4,1657,443,-85,8,1,20:38:22,
0x597E5627,0x3C992634,1658,1234,-90,-3,1,20:38:22,
0x597E5627,0x3C3A21AD,1658,1017,-94,-3,1,20:38:22,
0x597E5627,0x04875B4B,1658,997,-92,-3,1,20:38:22,
0x597E5627,0x3C992634,1660,1237,-91,-19,1,20:38:22,
0x597E5627,0x3C992634,1661,1237,-91,83,1,20:38:22,
0x597E5627,0x064F5882,1661,596,-89,83,1,20:38:22,
0x597E5627,0x3C992634,1665,1242,-87,-11,1,20:38:22,
0x597E5627,0x3C992634,1666,1243,-94,-8,1,20:38:22,
0x597E5627,0x7DA8FFB0,1668,471,-94,0,1,20:38:22,
